phrase;adjective;nonun;note_to_phrase;adjective_definition;noun_definition
abandoned hope;abandoned;hope;;;
abated pride;abated;pride;;;
abbreviated visit;abbreviated;visit;;;
abhorred thraldom;abhorred;thraldom;;;enslaved or in bondage
abiding romance;abiding;romance;;;
abject submission;abject;submission;;;
abjured ambition;abjured;ambition;;;
able strategist;able;strategist;;;
abnormal talents;abnormal;talents;;;
abominably perverse;abominably;perverse;;;
abounding happiness;abounding;happiness;;;
abridged statement;abridged;statement;;;
abrogated law;abrogated;law;;;
abrupt transition;abrupt;transition;;;
absolutely irrevocable;absolutely;irrevocable;;;
absorbed reverie;absorbed;reverie;;;
abstemious diet;abstemious;diet;;eating and drinking in moderation;
abstract character;abstract;character;;;
abstruse reasoning;abstruse;reasoning;;;
absurdly dangerous;absurdly;dangerous;;;
abundant opportunity;abundant;opportunity;;;
abusive epithet;abusive;epithet;;;
abysmally apologetic;abysmally;apologetic;;;
academic rigor;academic;rigor;;;
accelerated progress;accelerated;progress;;;
accentuated playfulness;accentuated;playfulness;;;
accepted littleness;accepted;littleness;;;
accessible pleasures;accessible;pleasures;;;
accessory circumstances;accessory;circumstances;;;
accidental lapse;accidental;lapse;;;
accommodating temper;accommodating;temper;;;
accomplished ease;accomplished;ease;;;
accredited agent;accredited;agent;;;
accumulated burden;accumulated;burden;;;
accurate appraisement;accurate;appraisement;;;
accursed enemy;accursed;enemy;;;
accusing glance;accusing;glance;;;
accustomed lucidity;accustomed;lucidity;;;
aching desire;aching;desire;;;
acknowledged authority;acknowledged;authority;;;
acoustical effects;acoustical;effects;;;
acquired timidity;acquired;timidity;;;
acrid controversy;acrid;controversy;;;
acrimonious warfare;acrimonious;warfare;;;
actively zealous;actively;zealous;;;
actualized ideals;actualized;ideals;;;
acutely conscious;acutely;conscious;;;
adamantine rigidity;adamantine;rigidity;;"unyielding; inflexible";
adaptive wit;adaptive;wit;;;
adduced facts;adduced;facts;;adduce = cite as an example;
adequate execution;adequate;execution;;;
adhesive quality;adhesive;quality;;;
administered rebuke;administered;rebuke;;;
admirable reserve;admirable;reserve;;;
admissible evidence;admissible;evidence;;;
admittedly inferior;admittedly;inferior;;;
admonitory gesture;admonitory;gesture;;;
adolescent youth;adolescent;youth;;;
adorable vanity;adorable;vanity;;;
adroit flatterer;adroit;flatterer;;;
adulated stranger;adulated;stranger;;;
adventitious way;adventitious;way;;"not inherent; added extrinsically";
adventurous mind;adventurous;mind;;;
adverse experience;adverse;experience;;;
affably accommodating;affably;accommodating;;;
affected indifference;affected;indifference;;;
affectionate approval;affectionate;approval;;;
affianced lady;affianced;lady;;;
affirmative attitude;affirmative;attitude;;;
affluent language;affluent;language;;;
affrighted slave;affrighted;slave;;;
aggravated faults;aggravated;faults;;;
aggregate body;aggregate;body;;;
aggressive selfishness;aggressive;selfishness;;;
agile mind;agile;mind;;;
agitated imagination;agitated;imagination;;;
agonizing appeal;agonizing;appeal;;;
agreeable frankness;agreeable;frankness;;;
aimless confusion;aimless;confusion;;;
airy splendor;airy;splendor;;;
alarming rapidity;alarming;rapidity;;;
alert acceptance;alert;acceptance;;;
